midkatkram,malkachenaab,gharpati_magil,gharpati_chalu,gharpati_akun,divabatti_magil,divabatti_chalu,divabatti_akun,arogya_chalu,arogya_akun,arogya_magil,panipati_magil,panipati_chalu,panipati_akun,akud_dey_rakam
1001,राजेश शर्मा,50,60,110,20,25,45,30,35,15,40,45,85,195
1002,स्नेहा पाटील,45,55,100,18,22,40,28,33,14,38,42,80,180
1003,अमित देशमुख,60,70,130,22,28,50,35,40,20,42,48,90,215
1004,नीलम दिक्षित,55,65,120,21,26,47,32,38,18,41,46,87,205
1005,राहुल जोशी,48,58,106,19,23,42,29,34,15,39,43,82,188
1006,सुमन शिंदे,52,62,114,20,24,44,31,36,16,40,44,84,198
1007,विजय कुलकर्णी,65,75,140,24,30,54,38,42,22,44,50,94,225
1008,पूनम कुलकर्णी,50,60,110,20,25,45,30,35,15,40,45,85,195
1009,अजय सेनगुप्ता,58,68,126,23,27,50,36,39,19,43,47,90,210
1010,माधुरी जोशी,47,57,104,18,22,40,29,33,15,38,42,80,182
1011,सर्वेश पांडे,54,64,118,21,25,46,32,37,17,41,45,86,202
1012,रेखा शर्मा,49,59,108,19,23,43,30,34,15,39,43,82,189
1013,अभिजीत देशपांडे,62,72,134,23,29,52,38,41,21,43,49,92,218
1014,लीना सावंत,51,61,112,20,24,44,31,35,16,40,44,84,197
1015,मनोहर पाटील,56,66,122,22,26,48,34,38,18,42,46,88,207
1016,शिवानी देशमुख,53,63,116,21,25,46,32,37,17,41,45,86,200
1017,रवींद्र नेरकर,59,69,128,23,27,50,36,39,19,43,47,90,212
1018,नीरजा कुलकर्णी,46,56,102,18,22,40,29,33,15,38,42,80,180
1019,संदीप चौधरी,61,71,132,23,28,51,37,40,20,43,48,91,216
1020,मंजुला जाधव,54,64,118,21,25,46,32,37,17,41,45,86,203
